TITLE,ARTIST,KEY,DURATION,TEMPO,COUNTIN,BACKING,NORD,ROLAND,VE,PERFORMANCE KEY,TIME SIGNATURE,SONG ID,SONG LABEL,ENERGY LEVEL,VOCAL INTENSITY,GENRE PRIMARY,GENRE SECONDARY,SING ALONG
Hungry Heart,Bruce Springsteen,C,,120,,,,,,,,ABC:B:BruceSpringsteen:HugryHeart,,7,FULL,Rock,,true
Apt,Rose & Bruno Mars,Eb,2:40,149,4,RC,P51,,,,,ABC:B:BrunoMars:Apt,Apt,8,FULL,Pop,,true
Die With A Smile,"Bruno Mars, Lady Gaga",A,,,4,RC,,,,,,ABC:B:BrunoMars:DieWithASmile,Die   Smile,4,FULL,Pop,Ballad,false
Nothin On You,Bruno Mars & B.o.B,Bb,3:45,107,,,,,,,,ABC:B:BrunoMars:NothinOnYou,,7,FULL,Pop,R&B,true
Have You Ever Seen The Rain,Creedence Clearwater Revival,C,,108,,,,,,,,ABC:C:CCR:HaveYouEverSeenTheRain,,5,FULL,Rock,,true
Just A Song Before I Go,"Crosby, Stills, Nash and Young",Dm,4:00,107,,,M14(A2),,,Dm,,ABC:C:CSNY:JustASongBeforeIGo,BeforeIGo,3,FULL,Folk Rock,,false
Cigarette Daydreams,Cage The Elephant,D,3:00,114,,,,,,,,ABC:C:CageTheElephant:CigaretteDaydreams,,5,FULL,Alternative,,false
In The Air,The California Honeydrops,E,,,,,,,,,,ABC:C:CaliforniaHoneydrops:InTheAir,,6,FULL,Soul,Funk,false
Havana,Camila Cabello,Gm,,,,,,,,,,ABC:C:CamilaCabello:Havana,,7,FULL,Latin Pop,,true
Come Around Again,Carly Simon,Dm,,,,,,,,,,ABC:C:CarlySimon:ComeAroundAgain,,4,FULL,Pop,,false
Chains,Carole King,D,,,,,,,,,,ABC:C:CaroleKing:Chains,,6,FULL,Pop Rock,,false
I Feel The Earth Move,Carole King,Eb,,,,,,,,,,ABC:C:CaroleKing:IFeelTheEarthMove,,7,FULL,Pop Rock,,false
Will You Love Me Tomorrow,Carole King,C,3:00,80,,,,,,,,ABC:C:CaroleKing:WillYouLoveMeTomorrow,,2,FULL,Pop,Ballad,false
I Won't Last A Day Without You,Carpenters,G,3:20,85,4,,P54,,,,,ABC:C:Carpenters:IWontLastADayWithoutYou,,2,FULL,Soft Pop,,false
I Won't Last A Day Without You,Carpenters,F,3:20,85,4,,P54,,,,,ABC:C:Carpenters:IWontLastADayWithoutYou-f,,2,FULL,Soft Pop,,false
