ARTIST,BACKING,CAPO,CHORDPRO FILENAME,COUNTIN,DURATION,KEY,NORD,PERFORMANCE KEY,TEMPO,TIME SIGNATURE,TITLE,VE,VERSION
Fleetwood Mac,,,./cho/DEF/F/FleetwoodMac/DontStop.cho,0,3:00,E,N54,,,,Don't Stop,,
Fleetwood Mac,,,./cho/DEF/F/FleetwoodMac/SayThatYouLoveMe.cho,4,3:00,A,N12,A,128,,Say That You Love Me,,
4 Non Blonds,,,./cho/DEF/F/FourNonBlondes/WhatsUp.cho,,4:00,A,,,67,,What's Up,,
Dr. Hook,,,./cho/DEF/D/DrHook/SharingTheNightTogether.cho,,,C,,,,,Sharing The Night Together,,
Donna Summer,,,./cho/DEF/D/DonnaSummer/HotStuff.cho,,,Gm,,,,,Hot Stuff,,
Dua Lipa,,,./cho/DEF/D/DuaLipa/Levitating.cho,,,Am,,,,,Levitating,,
Dua Lipa,,,./cho/DEF/D/DuaLipa/LoveAgain.cho,,,F#m,,,116,,Love Again,,
Doobie Brothers,,,./cho/DEF/D/DoobieBros/TakinItToTheStreets-B.cho,,,B,,,,,Takin' It To The Streets,,
Doobie Brothers,,,./cho/DEF/D/DoobieBros/LongTrainRunning.cho,,3:20,Gm,,,117,,Long Train Runnin',,
Doobie Brothers,,,./cho/DEF/D/DoobieBros/LongTrainRunning-MVP.cho,,,Gm,,,,,Long Train Runnin’,,
Doobie Brothers,,,./cho/DEF/D/DoobieBros/TakinItToTheStreets.cho,,,F,,,,,Takin' It To The Streets,,
Delbert McClinton,,,./cho/DEF/D/DelbertMcClinton/LeapOfFaith.cho,,,B,,,,,Leap Of Faith,,
Daniel Boone,,,./cho/DEF/D/DanielBoone/BeautifulSunday.cho,,,C,,,,,Beautiful Sunday,,1.0
Hootie (Darius Rucker) and the Blowfish,,,./cho/DEF/D/DariusRucker/HoldMyHand.cho,,3:35,B,,,101,,Hold My Hand,,
Darius Rucker,,,./cho/DEF/D/DariusRucker/WagonWheel.cho,4,3:50,G,O55,,,,Wagon Wheel,,1.0
Dwight Yoakam,,,./cho/DEF/D/DwightYokam/AintThatLonelyYet.cho,,,F,,,107,,Ain't That Lonely Yet,,
Dwight Yoakam,,,./cho/DEF/D/DwightYokam/LittleSister.cho,4,3:00,E,O14,,144,,Little Sister,,
